backend_name;api_name
CHAIN:dimparam_source:-1:single;cj_utm_source_first
CHAIN:dimparam_source::all_common_merge;cj_utm_source_order
CHAIN:dimparam_source:0:single;cj_utm_source
CHAIN:dimparam_source:1:single;cj_utm_source_last
CHAIN:dimparam_source:2:single;cj_utm_source_penultimate
CHAIN:dimparam_term:-1:single;cj_utm_term_first
CHAIN:dimparam_term::all_common_merge;cj_utm_term_order
CHAIN:dimparam_term:0:single;cj_utm_term
CHAIN:dimparam_term:1:single;cj_utm_term_last
CHAIN:dimparam_term:2:single;cj_utm_term_penultimate
CHAIN:domain:-1:single;cj_domain_first
CHAIN:domain:0:single;cj_domain
CHAIN:domain:1:single;cj_domain_last
CHAIN:domain:2:single;cj_domain_penultimate
CHAIN:global_adgroup:-1:single;cj_global_adgroup_first
CHAIN:global_adgroup::all_common_merge;cj_global_adgroup_order
CHAIN:global_adgroup:0:single;cj_global_adgroup
CHAIN:global_adgroup:1:single;cj_global_adgroup_last
CHAIN:global_adgroup:2:single;cj_global_adgroup_penultimate
CHAIN:global_campaign:-1:single;cj_global_campaign_first
CHAIN:global_campaign::all_common_merge;cj_global_campaign_order
CHAIN:global_campaign:0:single;cj_global_campaign
CHAIN:global_campaign:1:single;cj_global_campaign_last
CHAIN:global_campaign:2:single;cj_global_campaign_penultimate
CHAIN:global_keyword:-1:single;cj_global_keyword_first
CHAIN:global_keyword::all_common_merge;cj_global_keyword_order
CHAIN:global_keyword:0:single;cj_global_keyword
CHAIN:global_keyword:1:single;cj_global_keyword_last
CHAIN:global_keyword:2:single;cj_global_keyword_penultimate
CHAIN:group_type:-1:single;cj_group_type_first
CHAIN:group_type::all_common_merge;cj_group_type_order
CHAIN:group_type::ca;cj_group_type_ca
CHAIN:group_type:0:single;cj_group_type
CHAIN:group_type:1:single;cj_group_type_last
CHAIN:group_type:2:single;cj_group_type_penultimate
CHAIN:level1_customer_trackgroup:-1:single;cj_level1_trackgroup_first
CHAIN:level1_customer_trackgroup::all_common_merge;cj_level1_trackgroup_order
CHAIN:level1_customer_trackgroup::ca;cj_level1_trackgroup_ca
CHAIN:level1_customer_trackgroup:1:single;cj_level1_trackgroup_last
CHAIN:level1_customer_trackgroup:2:single;cj_level1_trackgroup_penultimate
CHAIN:level2_customer_trackgroup:-1:single;cj_level2_trackgroup_first
CHAIN:level2_customer_trackgroup::all_common_merge;cj_level2_trackgroup_order
CHAIN:level2_customer_trackgroup::ca;cj_level2_trackgroup_ca
CHAIN:level2_customer_trackgroup:1:single;cj_level2_trackgroup_last
CHAIN:level2_customer_trackgroup:2:single;cj_level2_trackgroup_penultimate
CHAIN:level3_customer_trackgroup:-1:single;cj_level3_trackgroup_first
CHAIN:level3_customer_trackgroup::all_common_merge;cj_level3_trackgroup_order
CHAIN:level3_customer_trackgroup::ca;cj_level3_trackgroup_ca
CHAIN:level3_customer_trackgroup:1:single;cj_level3_trackgroup_last
CHAIN:level3_customer_trackgroup:2:single;cj_level3_trackgroup_penultimate
CHAIN:level4_customer_trackgroup:-1:single;cj_level4_trackgroup_first
CHAIN:level4_customer_trackgroup::all_common_merge;cj_level4_trackgroup_order
CHAIN:level4_customer_trackgroup::ca;cj_level4_trackgroup_ca
CHAIN:level4_customer_trackgroup:1:single;cj_level4_trackgroup_last
CHAIN:level4_customer_trackgroup:2:single;cj_level4_trackgroup_penultimate
CHAIN:level5_customer_trackgroup:-1:single;cj_level5_trackgroup_first
CHAIN:level5_customer_trackgroup::all_common_merge;cj_level5_trackgroup_order
CHAIN:level5_customer_trackgroup::ca;cj_level5_trackgroup_ca
CHAIN:level5_customer_trackgroup:1:single;cj_level5_trackgroup_last
CHAIN:level5_customer_trackgroup:2:single;cj_level5_trackgroup_penultimate
CHAIN:mediacode:-1:single;cj_mc_first
CHAIN:mediacode:1:single;cj_mc_last
CHAIN:mediacode:2:single;cj_mc_penultimate
CHAIN:phrase:-1:single;cj_phrase_first
CHAIN:phrase:1:single;cj_phrase_last
CHAIN:phrase:2:single;cj_phrase_penultimate
CHAIN:tag:-1:single;cj_tag_first
CHAIN:tag::ca;cj_tag_ca
CHAIN:tag:1:single;cj_tag_last
CHAIN:tag:2:single;cj_tag_penultimate
checkin_date;op_checkin_date
checkout_date;op_checkout_date
city;city
city_criteria_id;city_criteria_id
click_country;click_country
click_domain;click_domain
click_engine;click_engine
click_logdate;click_date
click_mediacode;click_mc
click_mediacodeid;click_mcid
click_referer;click_referer
click_tracklogid;click_tracklogid
click_uniquevisit;click_uniquevisit
continent;continent
conversion_type;conversion_type
cookie_enable;cookie_enable
cookie_restore;cookie_restore
country;country
country_criteria_id;country_criteria_id
cover_block_channels;cover_block_channels
cover_block_status;cover_block_status
csm_user;csm_user
csm_userid;csm_userid
ctgroup;ctgroup
currency;currency
currency_rate;currency_rate
current_max_cpc;current_max_cpc
custom_data;custom_data
custom_parameters;custom_parameters
customer;customer
customer_group;customer_group
customer_trackgroup;trackgroup
customerid;cid
daily_budget;daily_budget
date;date
date_hour;date_hour
date_range;date_range
day;day
day_of_quarter;day_of_quarter
day_of_week;day_of_week
day_of_year;day_of_year
default;default
delivered_match_type;delivered_match_type
delivery_method;delivery_method
dest_city;op_dest_city
detection_status;tv_detection_status
device;device
device_targets;device_targets
device_type;device_type
dim_measure;utm_measure
dimparam_campaign;utm_campaign
dimparam_content;utm_content
dimparam_medium;utm_medium
dimparam_source;utm_source
dimparam_term;utm_term
domain;domain
doubleclick_search_account;doubleclick_search_account
doubleclick_search_adgroup;doubleclick_search_adgroup
doubleclick_search_advertiser;doubleclick_search_advertiser
doubleclick_search_agency;doubleclick_search_agency
doubleclick_search_campaign;doubleclick_search_campaign
effective_bid_strategy;effective_bid_strategy
effective_city;effective_city
effective_country;effective_country
effective_device_type;effective_device_type
effective_labels;effective_labels
effective_metro;effective_metro
effective_province;effective_province
end_tracklogid;end_tracklogid
enddate;enddate
engine;engine
engine_remarketing_list_target_all;engine_remarketing_list_target_all
engine_status;engine_status
error_text;error_text
event_source;event_source
event_type;event_type
excluded_city;excluded_city
excluded_country;excluded_country
excluded_metro;excluded_metro
excluded_province;excluded_province
ext_device_type;ext_device_type
external_account;external_account
facebook_account;fb_account
facebook_ad;fb_ad
facebook_adset;fb_adset
facebook_campaign;fb_campaign
family_nielsen;tv_family_nielsen
fingerprint;fingerprint
fingerprint2;fingerprint2
first_and_last;first_and_last
first_and_last_bm_campaign;first_and_last_s_campaign
first_and_last_bm_group;first_and_last_s_group
first_and_last_bm_keyword;first_and_last_s_keyword
first_and_last_device_type;first_and_last_device_type
first_and_last_dimparam_campaign;first_and_last_utm_campaign
first_and_last_dimparam_content;first_and_last_utm_content
first_and_last_dimparam_medium;first_and_last_utm_medium
first_and_last_dimparam_source;first_and_last_utm_source
first_and_last_dimparam_term;first_and_last_utm_term
first_and_last_domain;first_and_last_domain
